elo_diff,h2h_home_win_rate,h2h_total_games,home_venue_win_rate,away_venue_win_rate,rolling_margin_diff,rolling_score_for_diff,rolling_score_against_diff,rolling_win_rate_diff,streak_diff,rest_diff,ladder_position_diff,venue_encoded,away_interstate,home_interstate
1.2,0.21052631578947367,19.0,0.563961038961039,0.5,31.2,18.0,-13.199999999999996,0.20000000000000007,3.0,-2.0,2.0,0.0,1.0,0.0
-310.7,0.3333333333333333,15.0,0.563961038961039,0.5,-45.3,-23.299999999999997,22.0,-0.5,-3.0,-3.0,-13.0,17.0,1.0,0.0
39.9,0.42105263157894735,19.0,0.563961038961039,0.5,-6.5,-1.5,5.0,0.09999999999999998,5.0,0.0,2.0,24.0,1.0,1.0
-158.3,0.47619047619047616,21.0,0.563961038961039,0.5,-26.099999999999998,-21.400000000000006,4.699999999999989,-0.3,-1.0,-2.0,-4.0,13.0,0.0,0.0
-394.5,0.47619047619047616,21.0,0.0,0.5,-87.1,-43.3,43.8,-0.9,-16.0,-1.0,-17.0,17.0,1.0,0.0
314.0,0.46153846153846156,13.0,0.563961038961039,0.5,46.3,24.5,-21.799999999999997,0.6000000000000001,5.0,3.0,9.0,14.0,1.0,1.0
-210.4,0.3333333333333333,18.0,0.563961038961039,0.5,-24.9,-15.800000000000011,9.100000000000009,-0.19999999999999996,-5.0,1.0,-7.0,6.0,1.0,0.0
-109.4,0.5625,16.0,0.0,0.5,-31.8,-16.0,15.799999999999997,-0.29999999999999993,1.0,1.0,-12.0,13.0,0.0,0.0
-75.6,0.26666666666666666,15.0,0.563961038961039,0.5,0.9000000000000021,-0.7999999999999972,-1.6999999999999886,0.09999999999999998,-4.0,-1.0,2.0,15.0,1.0,1.0
-67.8,0.21052631578947367,19.0,0.563961038961039,0.5,-8.899999999999999,-4.6000000000000085,4.299999999999997,0.0,0.0,3.0,2.0,6.0,1.0,0.0
61.8,0.44,25.0,0.563961038961039,1.0,-27.1,-18.200000000000003,8.900000000000006,0.0,-2.0,0.0,-8.0,0.0,0.0,0.0
-155.1,0.2857142857142857,14.0,0.563961038961039,0.5,-20.200000000000003,-9.200000000000003,11.0,-0.30000000000000004,-6.0,-1.0,-6.0,4.0,1.0,0.0
46.2,0.6,15.0,0.563961038961039,0.5,10.900000000000002,12.099999999999994,1.2000000000000028,0.19999999999999996,4.0,1.0,2.0,12.0,1.0,0.0
63.9,0.6,15.0,0.563961038961039,0.5,14.299999999999997,3.3999999999999915,-10.900000000000006,0.2,8.0,-1.0,2.0,13.0,1.0,0.0
-39.8,0.3888888888888889,18.0,0.563961038961039,0.5,-10.3,-9.599999999999994,0.7000000000000028,0.0,-5.0,-1.0,-3.0,17.0,1.0,0.0
23.9,0.4666666666666667,15.0,0.563961038961039,0.5,10.0,22.799999999999997,12.800000000000011,0.0,2.0,3.0,-5.0,6.0,1.0,0.0
-33.9,0.4375,16.0,0.563961038961039,0.5,-24.799999999999997,-12.799999999999997,12.0,-0.09999999999999998,2.0,1.0,-5.0,23.0,1.0,0.0
